Timestamp,Column 2,Full name,Please enter the date today,"Share a win from the last week (what went well, something you enjoyed)",Share a loss (something that was challenging or did not go well),"Share a blocker, if any (anything that stopped you from doing what you needed to do)",Anything else you would like to share or ask
10/10/2025 11:14:24,,Student 262,10/10/2025,"A win from the last week:
I’ve been learning more about Artificial Intelligence, ChatGPT, and Large Language Models (LLMs). It’s been exciting to explore how these technologies work and to discover new developments in the field. I enjoyed deepening my understanding and seeing how rapidly AI tools are evolving it motivated me to keep learning and experimenting with them.","A loss or challenge:
This past week was quite challenging because there were many activities due, and preparing for exams felt overwhelming at times. Balancing everything was difficult, but I’ve been managing to cope by staying organized and focusing on one task at a time.","I don’t have any major blockers at the moment everything is going according to plan, and I’m able to keep up with my tasks smoothly.","All is fine, I appreciate the support and good communication."
10/10/2025 11:52:07,,Student 263,10/10/2025,I was able to submit my fairytale 10 year oddesy story on time,I missed 2 deadlines,"Im full time student, this means I need to prioritise my school assignments and prepare for the upcoming test week before I do any extra-curricular activities",I am feeling very overwhelmed and stressed
10/10/2025 14:46:32,,Student 264,10/10/2025,I managed to submit all my tasks in time,N/A,N/A,Nothing at the moment
10/10/2025 16:32:11,,Student 265,10/10/2025,"I enjoyed learning about saving money, because I really wish to save but when I receive money it has many expenses. And learning that AI can do an app for me i just need to instruct it what to do",using AI to create an app it shows errors and timeout even when data and connections is working normally.,this week I managed to complete all task in time,I enjoyed the datacamp it really helps with boosting my knowledge.
10/10/2025 18:36:58,,Student 266,10/10/2025,I really enjoyed writing the children's odyssey book.,I had flu and felt weak.,I had no blocker this week,"so far, I am enjoying the learning experience."
10/10/2025 18:44:23,,Student 267,10/10/2025,completing assignments well and good gym sessions,not following up on personal goals,electricity cut out,
10/10/2025 20:29:08,,Student 268,10/10/2025,I have been just learning and growing my skills,I am losing my time management skills as I am not keeping up with submissions and it's not like me,I do not have,"I just want to share that I am currently doing my Advanced Diploma in IT: Software development and I really do love being part of the program, I sometimes feel like the submission pace is too much. I really want to grow in the Project management side because that where I want to be and I believe Umuzi is the perfect platform for my growth. All I am asking is just to be a little bit consider for me.  "
10/10/2025 20:31:11,,Student 269,10/10/2025,"Understanding how to use ChatGPT effectively, especially with prompting.",I could not finish the DataCamp assessments on time.,,
10/10/2025 20:49:31,,Student 270,9/12/1996,I successfully set up the backend for a project I’m working on and started applying the AI skills I’ve been learning. It was rewarding to see the pieces come together and actually put theory into practice.,"I struggled with aligning some backend endpoints with the frontend, especially making sure the data flowed correctly. It slowed me down more than I expected and I had to backtrack a few times before getting closer to the right solution.",A blocker I ran into was version mismatches between the EF Core tools and runtime. It caused migration issues and slowed down database updates until I figured out the fix.,Nothing else to share for now.
10/10/2025 21:13:42,,Student 271,10/10/2025,Completing all my Umuzi assignments and attending the meetings live.,N/A,Not having a proper schedule this week.,N/A
10/10/2025 21:27:12,,Student 272,10/10/2025,"A big win from last week was managing to stay consistent with my study schedule. I balanced my tutoring and coding practice better than before, and it felt great to see real progress. I really enjoyed the feeling of being organized and in control of my goals.","Last week, I faced a challenge while learning Python at the intermediate level. I’m currently focusing on improving my data science skills since I’ve already completed the Python for Beginners course on DataCamp. The issue came up when I tried to use the matplotlib library. Although I managed to install it through the command prompt, it wouldn’t run properly on my computer. It was frustrating because I wanted to practice data visualization, but I couldn’t get the code to work. I’m determined to fix it, though, and make sure everything runs smoothly next time.","A blocker I faced last week was related to my Python practice. Since matplotlib wasn’t running on my computer, I couldn’t continue practicing data visualization as planned. This slowed down my progress in learning intermediate Python and building my data science skills. I need to troubleshoot this issue or find a workaround so I can keep moving forward.",
10/10/2025 22:15:55,,Student 273,10/10/2025,nothing,test prep is a lot,I'm overwhelmed,
10/10/2025 22:19:39,,Student 274,10/10/2025,"I really enjoyed the session with Lethabo from Worth, I gained a lot of information about saving. I also currently rank 4th place on the DataCamp leaderboard.",Everything went smoothly this week.,None,None
10/10/2025 22:20:49,,Student 275,10/10/2025,none,test prep,"I am just overwhelmed, nothing much.",
10/10/2025 22:49:16,,Student 276,10/10/2025,I got a job interview,I failed an assessment,,
10/10/2025 23:15:39,,Student 277,10/10/2025,I managed to stay consistent with my goals. I completed all my school tasks on time.,I didn't manage my free time as well as I hoped. I planned to do some extra reading but found it hard to focus after my scheduled tasks were done.,The challenge was maintaining focus and energy throughout the week.,I am looking forward to next week.
10/10/2025 23:25:20,,Student 278,10/10/2025,Attended all the sessions and engaged,There is an activity that I missed because I did not know that we have one.,Mot checking google classroom everyday for announcements and new activities,
10/10/2025 23:49:13,,Student 279,10/10/2025,Completed and submitted a project for review,did not meet all weekly submissions,,
10/11/2025 4:59:53,,Student 280,10/10/2025,I  tried a new hobbie of content creation and I enjoy it,I’m too shy and not comfortable to create content,I need to work on my confidence,
10/11/2025 5:04:49,,Student 281,10/11/2025,I've got a win with my conditional acceptance to North West University! That's something to celebrate - I've taken a big step towards my academic goals. Congrats to me!,"I'm still waiting for my semester marks, which is adding some uncertainty to my conditional acceptance. It's a bit stressful not knowing how everything will pan out, but I'm hoping for the best.",I wrote my exams quite late,
10/11/2025 15:14:43,,Student 282,12/26/2005,I made progress in Calculus,My timetable,Electricity,Nope.
10/11/2025 19:11:11,,Student 283,11/20/1994,Engagement and communication,i missed a class one day,i was not aware about the usage of calendar for my classes but now i am perfect to see my schedules,no
10/12/2025 15:02:14,,Student 284,10/12/2025,I enjoyed creating my Odyssey Plan storybook and learning more about AI.,I was looking forward in learning about wealth and how to manage debt and build wealth.,Not having access to the worth email was my blocker.,I am really enjoying learning new things and being part of the Umuzi program is amazing
10/12/2025 17:51:00,,Student 285,11/20/1994,engagement and communication,I missed a class,it was a data but i am sorted now,no
10/12/2025 21:06:52,,Student 286,10/12/2025,Finally opened the book to read the book I recently got.,Not being able to balance my schedule leaving a lot of work undone.,"Changing my regular routine, I believe that is what contributed to a lot of what was not finished.","I really value this opportunity to be part of this program, as much as I have not finished a lot of the tasks that are assigned to me."
10/13/2025 8:49:58,,Student 287,10/13/2025,N/a,I failed to complete my classroom assignments in time.,"The screen on my laptop broke, and I could not finish my work.",N/a
10/13/2025 8:51:50,,Student 288,10/13/2025,I completed 3 certificate in Datacamp,"Everything went going well, surprisingly.",No blocker.,N/A
10/14/2025 10:27:44,,Student 289,10/14/2025,A key win from the past week was expanding my professional network and knowledge base through engagement on the Umuzi platform. The experience provided valuable insights and meaningful connections that are already influencing my approach to learning and collaboration.,"Nothing so far, just waiting on The Worth content ",Nothing at all,So far I am happy and have zero questions
10/14/2025 12:43:04,,Student 290,10/6/2025,We got paid,Missed a few classes because of Wi-Fi issues,Internet connection,None
10/15/2025 0:32:21,,Student 291,10/14/2025,Finished nametags I was in charge of making for my department's symposium.,"managing the workload of umuzi, my internship and masters work.",fatigue,none
10/15/2025 23:56:00,,Student 292,10/15/2025,Studied really well,"Could not be present for Umuzi work, therefore missed a lot and fell behind ",Time management. Many clashes. Mental health issues,Nothing for now. Thank you!
10/15/2025 23:59:11,,Student 293,10/15/2025,"Unfortunately, I missed this reflection. So I will it be able to answer these questions effectively. My apologies. ","Unfortunately, I missed this reflection. So I will it be able to answer these questions effectively. My apologies. ","Unfortunately, I missed this reflection. So I will it be able to answer these questions effectively. My apologies. ","My apologies for all my late submissions. This has been a busy two weeks with back to back assignments, exam study exams and doctor visits "
10/16/2025 8:37:11,,Student 294,10/15/2025,Doing the elevator pitch and learning about how to better create a CV that will be noticeable by employers,"Not necessarily didn't go well, just learning about certain tips would've been of great help in my job searches. Now knowing i will use them in the future","Finding my peer was a challenge, especially this weeks work having to work with one and not getting a hold of them was a challenge but i had to come up with another solution and found someone else in order to submit on time",What will the digital marketing learnership start?
10/16/2025 9:55:03,,Student 295,10/16/2025,Worth was not working yet but I managed to do the Employability sprint. That was quiet an exciting journey for me.,"as mentioned that Worth wasn't working yet, Now all the activities are due tomorrow and I am overwhelmed with work.",Worth!! hehe,What would happen if we dont finish on time?
10/16/2025 10:55:27,,Student 296,5/6/1999,I managed to finish most of the tasks I set for myself.,My time management is still lacking.,Procrastination has to be my biggest blocker at the moment.,"Everyday is a learning curve. As long as I keep showing up, that's a win."
10/16/2025 17:41:53,,Student 297,1/19/2005,I enjoyed doing the Odessey plan and looking into different ways my future could go.,I struggled with the budget plan because most people don't like disclosing their finances online so finding out how much people make was a tad bit hard.,It was test week for me so I had to juggle both this and my academics,
10/16/2025 20:39:58,,Student 298,10/16/2025,Deployed a portfolio project,N/A,N/A,n/a
10/17/2025 9:26:15,,Student 299,10/17/2025,Moving onto a new learning block,Job applications and getting job ready,Job applications and stress are blocking my completion of the simulations,
10/17/2025 18:17:02,,Student 300,10/17/2025,I really enjoyed doing the Odyssey Children's book.,"I was recovering from flu, but Everything was fine.",I did not have a blocker,"I am learning so many great information so far, thank you."
10/17/2025 18:24:38,,Student 301,10/17/2025,Learning on how I can advance my interview skills,Failing to articulate myself during my interview or even doubting the responses I had,Having a family emergency,
10/20/2025 12:16:08,,Student 302,10/20/2025,I got through a mini project,My phone broke,none,Not at this moment
10/23/2025 20:38:37,,Student 303,10/23/2025,Got my code working after it not working for a while,completing the gig,n/a,n/a
10/23/2025 23:09:56,,Student 304,10/23/2025,I enjoyed practicing my coding skils,N/A,n/a,n/a
10/24/2025 16:35:09,,Student 305,10/24/2025,Contributing to a non-profit organisation,My laptop broke,"Well even though my laptop broke, i borrowed one to continue with my work",none
10/24/2025 18:42:26,,Student 306,10/24/2025,I enjoyed doing the community project,Everything went well,None,No
10/25/2025 21:35:12,,Student 307,10/25/2025,Completed a coursera course!,Very slow week,Busy studying for an exam,
10/27/2025 11:31:30,,Student 308,10/27/2025,I found immense joy in assisting those in my community access what they couldn't purchase on their own. There’s something truly rewarding about helping and giving; it fills my heart with a sense of fulfillment and purpose.,"I secured a venue for my community project, even though I had to make arrangements at the last minute since cancellation wasn’t an option.",Nothing stopped me from doing my work,No
10/28/2025 11:05:57,,Student 309,10/28/2025,Our Figma project was coming along just fine.,"Our presentation didn't go as planned. There were struggles in the group, one person wanting to present the whole thing, but I'm glad it is over and we can move to other projects.",I experienced loadshedding but it was something out of my control,I'm excited about what I am going to learn going forward.
10/28/2025 12:26:21,,Student 310,10/28/2025,I enjoyed meeting with the an amazing senior dev,Job applications,"Job applications, as the time gets closer and closer to the end of the program I am panicking a bit, so I am spending more time on finding applications.",
10/28/2025 15:42:25,,Student 311,10/28/2025,I passed a Computer Vision exam,I have found preparation for my Cloud Computing exam to be very difficult.,My time management has been poor.,N/A
10/28/2025 17:18:21,,Student 312,10/28/2025,I wrote my Economics test,I got to my test venue late,I was sick,No
10/28/2025 17:45:59,,Student 313,10/28/2025,"I'm thrilled to share that our MBU group preparation last week and presentation this week went exceptionally well. Our team's thorough preparation and practice paid off, and everyone demonstrated a high level of professionalism and positivity. The presentation was well-organized, and our collective efforts resulted in a clear and compelling delivery.","During our recent presentation, we encountered a tough spot when the timekeeper cut us off at the 7-minute mark, despite our thorough practice and preparation. Unfortunately, our system didn't respond as quickly as we'd hoped, which made it difficult to transition smoothly and finish our presentation within the allocatted time.","Unfortunately, I hit a major blocker last week - I broke my laptop, which put me behind schedule on some tasks. As a result, I wasn't able to submit some assignments on time, which was frustrating.","Request for Deadline Extension.

I'm hoping to get some deadline extension on a few tasks. Would it be possible to discuss potential extensions?"
10/29/2025 0:13:41,,Student 314,10/29/2025,"I'm thrilled to share that our MBU group preparation and presentation went exceptionally well from last week to this week. Our team's thorough preparation and practice paid off, and everyone demonstrated a high level of professionalism and positivity. The presentation was well-organized, and our collective efforts resulted in a clear and compelling delivery.","During our recent presentation, we encountered a tough spot when the timekeeper cut us off at the 7-minute mark, despite our thorough practice and preparation. Unfortunately, our system didn't respond as quickly as we'd hoped, which made it difficult to transition smoothly and finish our presentation within the allotted time.","Unfortunately, I hit a major blocker last week. I broke my laptop, which put me behind schedule on some tasks. As a result, I wasn't able to submit a assignments on time, which was frustrating.",I'm hoping to get some flexibility on a few task deadlines. Would it be possible to discuss potential extensions? I'd greatly appreciate some extra time to complete the tasks to the best of my abilities.
10/29/2025 0:41:59,,Student 315,1/28/2004,I aced my first school exam,,,
10/29/2025 13:58:35,,Student 316,10/29/2025,My MUB week went well. I'm happy that me and my team members worked well together and we were able to communicate and assist each other where we can.,I was not able to make it to the presentation because I had a test on Monday.,None,I am grateful for everything I learned in Block 1. It was an amazing journey.
10/29/2025 15:34:37,,Student 317,10/29/2025,"I really enjoyed learning about how centering your business around customers needs can benefit a business, as much as product or service is important, what can really make or break your business are the customers. It was really eye-opening to get a different perspective on the topic.","I don't really have a loss to share this week, I think I handled everything well.",Nothing at the moment.,"Are there any other courses that we can take on Coursera other than the ones assigned by Umuzi? 
I also wanted to ask when the payment schedule for block 3 will be released? 
Also, was the Umuzi Gig that I received in block 2 a paid gig?"
10/30/2025 4:40:07,,Student 318,10/30/2025,I was able to host a successful workshop on easy equities,I was not able to exercise as I had set for myself,Nothing stopped me from anything,
10/30/2025 7:45:55,,Student 319,10/30/2025,Finished coursera courses,Did not spend enough time studying,,
10/30/2025 15:12:18,,Student 320,10/30/2025,We were able to assist a few kids with school work by tutoring them,We were not able to create a website for a charity,The lady that owns the NGO was caught up in work and didn't have the chance to give us the material needed to create the website,Nothing
10/30/2025 15:15:22,,Student 321,10/30/2025,Being able to tutor kids,Not being able to create a website for an ngo,Owner of Ngo not having time to say what it is they require,Nothing
10/30/2025 16:28:28,,Student 322,10/30/2025,Got to understand the purpose of the program and just obtained another certificate in customer centricity which was a very valuable course.,"Time management has been a challenge, the course has a lot of videos and reading that I need to go through, other than there were went so much loses.",Non yet.,Looking forward to upskilling more soft skills and more opportunities
10/30/2025 17:07:20,,Student 323,10/30/2025,Doing courses at coursera,Everything went well,Nothing,Everything is going well so far
10/30/2025 17:37:57,,Student 324,7/2/2025,"I wouldn’t say there was a win last week, as I was mainly working on the Coursera Customer Centric course. However, I’m looking forward to the final project of the course.","The energy was noticeably low during the check-in meetings, as some explorers had a few concerns. Thankfully, the energy is starting to pick up again.","I had some issues with the data, so I had to be extra careful. But now everything is sorted for the next two weeks.",Just looking forward to the rest of the block
10/30/2025 17:46:02,,Student 325,10/30/2025,"One thing I really enjoyed was writing my reflection document. It felt like I was reconnecting with my future goals, looking back on how far I’ve come, and just taking a moment to feel genuinely grateful.","Struggling to stay consistent with my routine. There were days when my focus dropped, and I felt like I wasn’t making as much progress as I could have.","I had some issues with the data, so I had to be extra careful. But now everything is sorted for the next two weeks.","I just want to share that I’ve really appreciated the learning journey so far, every challenge has taught me something new about myself"
10/31/2025 4:10:46,,Student 326,10/31/2025,I enjoyed the the part were I was doing the community project.,The availability of APIs to finish the whole project the way I have planned it,,I would like to ask that are the other project similar to the community project volunteer that are technical
10/31/2025 4:42:14,,Student 327,10/31/2025,Seeing a progress with myself that I found myself opening up to someone about how I am doing in life.,The gigs did not go well with me as I was not feeling well emotionally.,Emotional and mental feelings hindered m from completing Block 2 which was gigs. There was a dark cloud that was against me  but I'm getting better.,
10/31/2025 5:24:13,,Student 328,10/31/2025,I can't say there is anything in particular.,This too. There's nothing in particular.,"Data struggles. When I take an Airtime Advance, I think about how likely it is that we're going to have a Check-in meeting, so I have to consider buying small data for a longer period to be able to keep checking emails, or buy more short-term Gigs for meetings.",
10/31/2025 5:28:42,,Student 329,10/31/2025,I managed to complete all Coursera certificate submissions even though two are due next week.,Nothing in particular.,"Data struggles. When I take an Airtime Advance, I think about how likely it is that we're going to have a Check-in meeting, so I have to consider buying small data for a longer period to be able to keep checking emails, or buy more short-term Gigs for meetings.",
10/31/2025 9:03:35,,Student 330,10/31/2025,"MUB group project, wonderful connections and great team work",,Had a mini Technical glitch on my school portal,
10/31/2025 10:57:01,,Student 331,10/31/2025,"I enjoyed learning how to use Figma, I always thought it is a very difficult platform but now i know how to navigate but I still have more to learn.",working in teams was very challenging because some team members were silent throughout the activities and that meant we had to cover their part of the work.,There was no blocker.,I learned so much and ready to continue learning.
10/31/2025 11:03:22,,Student 332,10/31/2025,I managed to stay on schedule.,,,
10/31/2025 11:53:10,,Student 333,10/31/2025,i submitted everything on time,,,
10/31/2025 12:58:34,,Student 334,10/31/2025,I really enjoyed working together with my group members,Attending all meetings was challenging,I had a lot of things to do so sometimes i couldnt attend the meeting's,No
10/31/2025 13:54:58,,Student 335,10/31/2025,I got to connect with a lot of people on LinkedIn,The participation of my group members was low. They weren't engaging as much as they did in the beginning.,"It was test week for me, so juggling both was a hassle for me.",N/a
10/31/2025 14:41:37,,Student 336,12/20/1999,completed a course on coursera,none,none,none
10/31/2025 15:57:52,,Student 337,10/31/2025,"During the community project reflection, I felt proud of what I had accomplished.","My network was horrible due to bad weather, it made completing the work challenging.",My bad network,
10/31/2025 16:30:00,,Student 338,10/31/2025,,,,
10/31/2025 16:32:45,,Student 339,10/31/2025,"I managed to complete a tricky task ahead of schedule. It went well because I was able to focus, break it into smaller steps, and stay consistent. I really enjoyed seeing the results come together and feeling that sense of accomplishment.",,A blocker I faced last week was waiting on information which stopped me from completing a task. It was challenging because it delayed my progress and required me to adjust my plan.,
10/31/2025 16:33:47,,Student 340,10/31/2025,"We were placed in groups for the MUB projects that we were supposed to work on. We were 8 in our group which was Team 6, 4 others quitted along the way. But as short as we were, we did what was supposed to be done and we did it well. Our presentation was perfect and each member did well in their roles.",Time management,None,I appreciate the opportunity that was given to me. I actually enjoyed been in a xpl4. It was such a nice experience and also I made new friends along the way
10/31/2025 16:58:28,,Student 341,10/4/2025,I got to make some really serious plans for my life.,I slacked a bit and scored under 70% for an activity,Exhaustion,No
10/31/2025 17:47:20,,Student 342,1/12/1998,"I passed my Data Science certification exams, which was a big personal achievement. It validated the effort I’ve been putting into improving my technical and analytical skills, and it gave me a confidence boost to take on more complex data projects.","I struggled a bit with balancing multiple tasks and deadlines this week, which affected my ability to stay consistent with my personal learning schedule. I missed a deadline on coursera ","No major blockers at the moment, but I’m still refining my time management approach to handle overlapping project priorities more effectively.","I’d appreciate guidance on how to structure ongoing project updates or learning reflections more efficiently, I want to make sure I’m capturing progress and insights in a way that’s useful for both me and my mentor."
10/31/2025 18:23:03,,Student 343,10/31/2025,very well done group project,,,
10/31/2025 18:36:38,,Student 344,10/31/2025,I enjoyed taking the Course on Customer Centricity on Coursera. I found the course really valuable for me as both an entrepreneur and a potential employee. I got excited when the content touched on something I have experienced in my entrepreneurship journey.,I do not have any loss to share with regards to this programme.,"No blocker caused by Umuzi or the programme,  I just fell sick and could not really be productive for about 2 days.",Nothing more.
10/31/2025 18:41:09,,Student 345,10/31/2025,I enjoyed the Customer Centricity Course on Coursera and I finished it on time.,I fell sick for about 2 days and could not really be productive.,Falling sick did not block me from completing what I needed to complete on time.,Nothing more
10/31/2025 19:28:39,,Student 346,10/31/2025,I enjoyed the employability sprint and the beginning of the MUB.,Not being able to complete of engage more in the MUB as I would have wanted as I was not assigned my team alot of challenges.,Firstly the MUB began when I was beginning my exams and I had just a huge personal curve ball that thrown at me.,This block has been a game changer for me personally and I have learnt alot about myself and has given me faith and an actual road map of my goals and how to actually work and see my goals practically. I thought at my age no programme would give me a chance but I am it has been an incredible opportunity so far.
10/31/2025 20:17:03,,Student 347,10/31/2025,Excited about getting access to specific courses on Coursera,Managing time with other commitments,,
10/31/2025 21:53:17,,Student 348,10/31/2025,"I successfully completed my Customer Centricity course on Coursera. I really enjoyed the learning experience, especially understanding how customer-focused strategies can drive business growth. It felt rewarding to complete the course and see my progress in developing both technical and professional skills.","I wasn’t feeling well, so I struggled to engage fully with the content. It was challenging to stay focused and keep up with my usual level of participation, but I’m determined to recover and get back on track.","I wasn’t feeling well and also had to prepare for my semester test, which made it difficult to stay consistent with my usual tasks and learning activities.","I’m grateful for the progress I’ve made so far, even with the challenges."
10/31/2025 22:32:50,,Student 349,10/31/2025,I was able to submit on time,None,None,No
11/1/2025 10:57:13,,Student 350,11/1/2025,"I successfully advanced to the assignment stage of the ALX internship after completing my interview. The experience was positive overall, and I felt confident demonstrating my skills and motivation for the role.",I found some of the situational questions challenging and realized I need to improve how I communicate my experiences under pressure. It was a valuable learning experience for future interviews.,"My main blocker at the moment is balancing time between completing the ALX assignment and other ongoing commitments, but I’m working on managing my schedule effectively to stay on track.",
11/1/2025 11:01:27,,Student 351,11/1/2025,"I successfully advanced to the assignment stage of the ALX internship after completing my interview. The experience was positive overall, and I felt confident demonstrating my skills and motivation for the role.",I found some of the situational questions challenging and realized I need to improve how I communicate my experiences under pressure. It was a valuable learning experience for future interviews.,"My main blocker at the moment is balancing time between completing the ALX assignment and other ongoing commitments, but I’m working on managing my schedule effectively to stay on track.",
11/4/2025 11:09:27,,Student 352,11/4/2025,i got called for an interview,my laptop died,my laptop died so i couldnt do much last week,
11/4/2025 19:13:13,,Student 353,11/4/2025,Completed my first and second course,Could not complete my third course,None,None
11/4/2025 21:54:08,,Student 354,10/13/1995,"Doing Community project, I manage to complete it within four weeks","It was challenging for me to add a database to my Community Hub project to be able to save user logins, but with the help of my peers, I managed to make it work.",Network issue on my side is troubling me.,I love being part o the Umuzi workplace
11/5/2025 2:59:56,,Student 355,11/5/2025,"Well I enjoyed the customer centric course, although I took  while to complete it ",Not submitting my tasks in time,prepping for my eisa exam that didn't take place,Nothing
11/6/2025 8:15:29,,Student 356,11/6/2025,I did not have any late submissions,none,none,I am looking forward to block 3
11/7/2025 9:18:32,,Student 357,11/7/2025,"Gave Bootstrap a shot and fell in love with it very quickly. FYI, I previously ditched it because of it's relation with jQuery which is the ""avoid if you can"" library in modern age. Surprisingly, Bootstrap switched over to Poppler which made building basic things easy compared to Tailwind where you may end up wiring eveyrthing yourself.

Oveerall, the greatest win is realising how easy to use Bootstrap is, and the potential to switch over to it in the near future.","I tried learning Angular just for experimentation, before even diving deep into state and the works I quickly realised it has A LOT of boilerplate just to get a simple button click event happening. Compared to a stack I am already very familiar with, I found Angular hard to navigate and build stuff around.",,"Just a compliment really.

The courses we are currently focused on in Coursera are very user/customer centered. I may be talking about the first course here but it opened my eyes to so much I have never thought I would learn.

From the reasons creating the necessity for Customer Centricity, companies that attempted implementing it, the ones that failed and the ones that succeeded. All this taught me that future me working on a SaaS or startup may actually have to prioritize the client/sustomer over a product that gets work done. "
11/7/2025 12:20:25,,Student 358,11/7/2025,I was able to fix the problem I has with footprintlogger as I didn't do the way I was supposed to having 1 repo project.,Nothing,None,None
11/7/2025 13:27:55,,Student 359,11/5/2025,"Been self learning cloud, so that is going well",Did not get enough sleep on Tuesday,N/A,N/A
11/7/2025 13:43:59,,Student 360,11/7/2025,"I completed all of my assigned tasks, I also enjoyed the Customer Centricity course on coursera, creating my umuzi internship application video was a challenge that I enjoyed and at the end it came out good.",Everything went well.,Don't have any blockers.,Nothing else for now.
11/7/2025 14:33:05,,Student 361,11/7/2025,"I made some progress on a AWS solutions architect course on Udemy which is not part of this program. I used my phone since I didn't have electricity.

I also managed to meet all my deadlines. ",Last week I missed some meetings because I didn't have electricity the whole week.,"last week I didn't have electricity, however it was fixed on Monday this week. But last night it went off again. Hopefully it will be fixed early next week.",no
11/7/2025 15:57:00,,Student 362,11/7/2025,I successfully executed my social gig on Monday.,I didn't experience any loss,I had no blockers,I managed to submit all my work in time
11/7/2025 18:03:00,,Student 363,11/7/2025,Working on a community project,Nothing much.,None,"Nah, I'm good."
11/7/2025 20:16:31,,Student 364,11/7/2025,Completed the Coursera course.,I have a few missing submissions that I am not done with.,"Had challenges trying to solve the forage courses locally, but I found a solution. It will be a productive weekend.",
11/7/2025 21:36:05,,Student 365,11/7/2025,Attended an interview where i learned a lot from,I didn't manage to secure the role,I didn't know Django,No
11/7/2025 22:08:10,,Student 366,11/7/2025,Last week I managed to deploy my community project after failing so many times.,I was not able to get some API of my community project to work.,None,
11/7/2025 22:12:23,,Student 367,11/7/2025,Completed the customer centricity course and everything went well. I enjoyed learning about this topic and I think it gave me a very valuable skill.,Nothing this week,None,No thanks.
11/7/2025 23:03:28,,Student 368,11/7/2025,A big win for me last week was completing the community gig. I really enjoyed seeing my design come to life as a fully functioning website. It made me proud of how far I’ve come in my journey as a web and software developer.,"A challenge I faced was not being able to complete everything I wanted, especially the back-end functionality of my site, due to time constraints. It was a bit frustrating, but it reminded me of the importance of planning and prioritizing tasks realistically.","My main blocker was time, there just was not enough time to complete everything I had planned.","No, that's all. "
11/7/2025 23:45:15,,Student 369,11/7/2025,I loved the customer centricity course because of the valuable insights shared by experienced professionals on the course.,I could not finish the course sooner than I thought I could.,"In my current location, I am riddled with power ottages. ",No
11/8/2025 6:52:53,,Student 370,11/7/2025,"I worked on the customer centricity course and enjoyed learning about how companies can benefit from moving from a product centric model to more focus on the customer, especially if they want to survive and grow in the long run",I could not make progress as fast as i wanted due to numerous outages. I sometimes felt overwhelmed when i eventually did get power back that i have so much work to do. I am working on getting back on track.,I had numerous extended power outages at random days which delayed my progress. I however am working on getting back on track.,"No questions for now, thank you."
11/9/2025 9:33:52,,Student 371,11/9/2025,Completing the customer centric course,Trying to catch up,I have a very slow pc,
11/10/2025 9:50:10,,Student 372,11/10/2025,"I was able to finish all my assignments, which taught me a lot about what recruiters are looking for, and I got to meet up with one of my LinkedIn mentors.","I couldn't submit some of my assignments on time because of personal reasons, which is something I don't usually do. But I later completed them.","Our Wi-Fi has been down for weeks, which slows my job search and other activities requiring an internet connection.",I want to thank the Umuzi team for their support with the internship opportunities; it gives us hope that things will go well.
